original_Store name,original_Address,original_City,original_State,original_Petition File Date (from Store Name),original_NLRB Case Number(s),original_Store Status,original_Vote Count Date,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
Hampton Shoppes,"4655 William Flynn Highway 100, Allison Park, PA, 15101",Allison Park,PA,"6/20/2022, 8:00:00 PM",06-RC-297910,Union Win,"8/24/2022, 8:00:00 PM",40.591681,-79.948365,"4655 William Flinn Highway, Allison Park, PA 15101, United States of America",,4655,William Flinn Highway,Hampton Township,,15101,Allison Park,Allegheny County,Pennsylvania,PA,United States,us,0.45360000000000006,1,0.45360000000000006,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glenstone & Cherry,"631 S Glenstone Ave , Springfield, MO, 65802",Springfield,MO,"6/20/2022, 8:00:00 PM",14-RC-297893,Union Win,"8/24/2022, 8:00:00 PM",37.20311649624847,-93.26201949990588,"631 South Glenstone Avenue, Springfield, MO 65802, United States of America",,631,South Glenstone Avenue,Rountree/Walnut,,65802,Springfield,Greene County,Missouri,MO,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Montclair - Church & South Park,"40 South Park St , Montclair, NJ, 7042",Montclair,NJ,"6/15/2022, 8:00:00 PM",22-RC-297792,Union Win,"8/9/2022, 8:00:00 PM",40.8141092,-74.2200368,"40 South Park Street, Montclair, NJ 7042, United States of America",,40,South Park Street,Montclair Township,,7042,Montclair,Essex County,New Jersey,NJ,United States,us,1,1,1,,,
Edina - Hwy 100 and Industrial Blvd,"5122 Edina Industrial Blvd , Edina, MN, 55439",Edina,MN,"6/13/2022, 8:00:00 PM",18-RC-297566,Union Win,"8/17/2022, 8:00:00 PM",44.864205,-93.353864,"5122 Edina Industrial Boulevard, Edina, MN 55439, United States of America",,5122,Edina Industrial Boulevard,Cahill,,55439,Edina,Hennepin County,Minnesota,MN,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2224 Shattuck - Berkeley,"2224 Shattuck Avenue , Berkeley, CA, 94704",Berkeley,CA,"6/13/2022, 8:00:00 PM",32-RC-297553,Union Win,"8/21/2022, 8:00:00 PM",37.8689445294639,-122.26811853247641,"2224 Shattuck Avenue, Berkeley, CA 94704, United States of America",,2224,Shattuck Avenue,Downtown Berkeley,,94704,Berkeley,Alameda County,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4094 18th St.,"4094 18th Street , San Francisco, CA, 94114",San Francisco,CA,"6/5/2022, 8:00:00 PM",20-RC-297117,Union Win,"8/15/2022, 8:00:00 PM",37.7610101,-122.4346633,"Starbucks, 4094 18th Street, San Francisco, CA 94114, United States of America",Starbucks,4094,18th Street,Castro District,,94114,San Francisco,,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
North Bend & Mt Si- North Bend,"721 SW Mt. Si Blvd B, North Bend, WA, 98045",North Bend,WA,"6/5/2022, 8:00:00 PM",19-RC-297142,Union Win,"8/7/2022, 8:00:00 PM",47.487325150000004,-121.7934442466373,"Starbucks, 721 Southwest Mount Si Boulevard, North Bend, WA 98045, United States of America",Starbucks,721,Southwest Mount Si Boulevard,,Mountain Valley Shopping Center,98045,North Bend,King County,Washington,WA,United States,us,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Macadam Avenue,"6080 S Macadam , Portland, OR, 97239",Portland,OR,"6/5/2022, 8:00:00 PM",19-RC-297141,Union Win,"8/9/2022, 8:00:00 PM",45.479788,-122.67266,"6080 South Macadam Avenue, Portland, OR 97239, United States of America",,6080,South Macadam Avenue,,South Portland,97239,Portland,Multnomah County,Oregon,OR,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
John T. Reid Pkwy. & County Park R,"23029 John T Reid Parkway , Scottsboro, AL, 35769",Scottsboro,AL,"6/5/2022, 8:00:00 PM",10-RC-297006,Union Win,"10/30/2022, 8:00:00 PM",34.6495283,-86.0300713,"23029 John T Reid Parkway, Scottsboro, AL, United States of America",,23029,John T Reid Parkway,,,,Scottsboro,Jackson County,Alabama,AL,United States,us,0.9,1,0.9,,,
1604 & Blanco Rd,"18154 Blanco Rd , San Antonio, TX, 78232",San Antonio,TX,"6/1/2022, 8:00:00 PM",16-RC-296944,Union Win,"8/4/2022, 8:00:00 PM",29.580889,-98.514441,"15150 Blanco Road, Hollywood Park, TX 78232, United States of America",,15150,Blanco Road,,Sonterra,78232,Hollywood Park,Bexar County,Texas,TX,United States,us,0.5,1,1,© OpenAddresses contributors,BSD-3-Clause License,
Hwy 17 & Middle Sound Loop,"7201 Market Street , Wilmington, NC, 28411",Wilmington,NC,"5/31/2022, 8:00:00 PM",10-RC-296802,Union Win,"8/22/2022, 8:00:00 PM",34.2731583,-77.8193649,"Starbucks, 7201 Market Street, Wilmington, NC 28411, United States of America",Starbucks,7201,Market Street,,,28411,Wilmington,New Hanover County,North Carolina,NC,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
7707 McKnight Road,"7707 McKnight Rd , Pittsburgh, PA, 15237",Pittsburgh,PA,"5/30/2022, 8:00:00 PM",06-RC-296680,Union Win,"8/2/2022, 8:00:00 PM",40.54655085,-80.017903136485,"Starbucks, 7707 McKnight Road, Ross Township, PA 15237, United States of America",Starbucks,7707,McKnight Road,,,15237,Ross Township,Allegheny County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
